# LAST EDIT: 22/08/2020 - MITSU
#######################
# PLEASURE/HAREM/RAPE #
#######################
###ÄNSI
#
# PLEASURE
#
hide_deformity_spells;Dissimulate Deformity;;;;;;;;;;;;;;
EVTDESCBspleasure111;Now that [From.GetSheHe] started getting a taste of it, your [GetFromRelation] is really appreciating [From.GetHerHis] new diet, carelessly gorging on new delicacies and exotic food every day.;;;;;;;;;;;;;;
EVTDESCCspleasure111;[From.GetFirstName] has finally started to stuff [From.GetHerHim]self properly, with less encouraging required on your part. Keeping on like this, [From.GetSheHe] will get as plump as you wished [From.GetHerHim] to be.  At the beginning [From.GetSheHe] was a little nauseous, but now [From.GetSheHe]'s started to crave for new dishes and spices every night.;;;;;;;;;;;;;;
EVTDESCDspleasure111;Your ceaseless work has certainly resulted in some minor improvement in your [GetFromRelation]'s looks, [From.GetSheHe] doesn't shy from partaking in a large feast once in a while. You can see the first result of your influence in [From.GetHerHis] distended belly and relaxed demeanour, but there's still much to go yet.;;;;;;;;;;;;;;
EVTDESCEspleasure111;Your efforts managed to get [From.GetFirstName] to assume what you would consider a healthier diet, but this will still not do, [From.GetSheHe]'s still too undernourished, [From.GetSheHe] needs larger meals to recover entirely and gain the more amiable appearance you're looking for.;;;;;;;;;;;;;;
EVTDESCFspleasure111;Paying some kitchen boys to hide some sugar and honey inside your [GetFromRelation]'s bread seems to have been a good idea. [From.GetFirstName] looks already less pale and starving without being any wiser.;;;;;;;;;;;;;;
EVTDESCGspleasure111;[From.GetFirstName] still completely disregards your just concerns, [From.GetSheHe]'s so disgustingly thin, always refusing any delicacy you have the kitchen boys slip into [From.GetHerHis] table. Going on like this [From.GetSheHe] might actually be getting skinnier...;;;;;;;;;;;;;;
EVTDESCHspleasure111;[From.GetFirstName] still completely disregards your just concerns, [From.GetSheHe]'s so disgustingly skinny, you could swear you see bones sticking out under [From.GetHerHis] skin, how could anyone enjoy being such a corpse?;;;;;;;;;;;;;;
EVTOPTAspleasure111;*Flatter [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTBspleasure111;*Shame [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTCspleasure111;*Bash [From.GetHerHim]*;;;;;;;;;;;;;;
EVTDESCAspleasure112;You cannot remember the last time you felt satiated, every second of your waking life is now a constant struggle against the unending hunger [From.GetFirstName]'s honeyed words have bestowed unto you. Luckily, you've found stuffing yourself until you can barely move as a more than pleasant state of being.;;;;;;;;;;;;;;
EVTDESCBspleasure112;With your [GetFromRelation]'s kind guidance, your appetite has grown near insatiable. Every dinner is a feast for you and not too rarely you call your servants during the night to ask for more food.;;;;;;;;;;;;;;
EVTDESCCspleasure112;[From.GetFirstName]'s insistent suggestions were all that was needed to tease your appetite. You can barely miss a day without trying something new. Your cravings having been refined as well, you can no longer feel content with the frugal meals you enjoyed before.;;;;;;;;;;;;;;
EVTDESCDspleasure112;Since you've started following [From.GetFirstName]'s counsel regarding your diet, you've surely felt more relaxed and free in your choice of meals. But your [GetFromRelation] still encourages you each break to try fancy new dishes. At the end of the week you're often feeling bloated and near-sick.;;;;;;;;;;;;;;
EVTDESCEspleasure112;After [From.GetFirstName]'s numerous concerned talks, you've started to indulge a little every once in a while. Everyone around you swears it has only done good to your health. It's certainly a less stressful attitude, but you still worry it could get out of hand...;;;;;;;;;;;;;;
EVTDESCFspleasure112;With all the concerned praise you're receiving about your eating habits, you're starting to wonder if you shouldn't be a little less strict, if nothing for the sake of your health...;;;;;;;;;;;;;;
EVTDESCGspleasure112;It's the third time you see [From.GetFirstName] slipping something near your plate. At this point it would almost feel more unsettling if [From.GetSheHe] were trying to poison you. Naturally, [From.GetSheHe] kept on smiling and praising you for your constraint.;;;;;;;;;;;;;;
EVTDESCHspleasure112;Does [From.GetSheHe] makes any sense? First [From.GetSheHe] weaves all sort of praises around you, on how virtuous and temperate you are, but then suggest it might be good for you to not starve yourself as much as you supposedly do?;;;;;;;;;;;;;;
EVTOPTZZspleasure112;More, I want more!;;;;;;;;;;;;;;
EVTOPTAspleasure112;Nothing wrong in indulging a little...;;;;;;;;;;;;;;
EVTOPTBspleasure112;This is disgusting.;;;;;;;;;;;;;;
EVTOPTCspleasure112;Enough! The mere thought is making me nauseous.;;;;;;;;;;;;;;
EVTDESCAspleasure113;You cannot remember the last time you felt satiated, every second of your waking life is now a constant struggle against the unending hunger [From.GetFirstName]'s poisoned words have bestowed unto you. Luckily, you've found stuffing yourself until you can barely move as a more than pleasant state of being.;;;;;;;;;;;;;;
EVTDESCBspleasure113;Following your [GetFromRelation]'s veiled complaints, you've abandoned all caution and let your appetite grown near insatiable. Every dinner is a feast for you and not too rarely you call your servants during the night to ask for more food.;;;;;;;;;;;;;;
EVTDESCCspleasure113; You can barely miss a day without trying something new. Your cravings having been refined as well, you can no longer feel content with the frugal meals you enjoyed before. And yet, [GetFromRelation] cannot fail to berate you for still being dangerously moderate.;;;;;;;;;;;;;;
EVTDESCDspleasure113;Every time you indulge during a large feast, you end up with your belly stretched and with a sleepy disposition, yet when you voice your concerns [From.GetFirstName] is ready to harshly rebuke them, telling you it is your deviant mindset to see sickness instead of average health.;;;;;;;;;;;;;;
EVTDESCEspleasure113;After [From.GetFirstName]'s frequent veiled insults, you've stopped worrying too much about your meals. After all, if people will complain at you for your moderation and the fasting might be damaging your health, why insist?;;;;;;;;;;;;;;
EVTDESCFspleasure113;With all the shameful quips you're receiving from your [GetFromRelation], you've started to wonder if you really might have been unknowingly depriving yourself too much...;;;;;;;;;;;;;;
EVTDESCGspleasure113;[From.GetFirstName] is back again with [From.GetHerHis] cheap shots against you, suggesting you might have been in some kind of illness or disgrace to deny yourself even the bare amount of food a person needs to survive.;;;;;;;;;;;;;;
EVTDESCHspleasure113;It's almost laughable how [From.GetFirstName] still is trying to make you feel some sort of shame for your looks, claiming you to be obsessed with your figure to the point of starving yourself.;;;;;;;;;;;;;;
EVTOPTZZspleasure113;More, I want more!;;;;;;;;;;;;;;
EVTOPTAspleasure113;Nothing wrong in indulging a little...;;;;;;;;;;;;;;
EVTOPTBspleasure113;This is disgusting.;;;;;;;;;;;;;;
EVTOPTCspleasure113;Enough! The mere thought is making me nauseous.;;;;;;;;;;;;;;
EVTDESCAspleasure114;You cannot remember the last time you felt satiated, every second of your waking life is now a constant struggle against the unending hunger [From.GetFirstName]'s harsh words have bestowed unto you. Luckily, you've found stuffing yourself until you can barely move as a more than pleasant state of being.;;;;;;;;;;;;;;
EVTDESCBspleasure114;Following your [GetFromRelation]'s harsh scolding, you've abandoned all caution and let your appetite grown near insatiable. Every dinner is a feast for you and not too rarely you call your servants during the night to ask for more food.;;;;;;;;;;;;;;
EVTDESCCspleasure114; You can barely miss a day without trying something new. Your cravings having been refined as well, you can no longer feel content with the frugal meals you enjoyed before. And yet, [GetFromRelation] cannot fail to berate you for still being dangerously moderate.;;;;;;;;;;;;;;
EVTDESCDspleasure114;With your [GetFromRelation] scolding your for eating too little every night, you've started to ask for larger meals, yet this new diet often leaves you nauseous and tired.;;;;;;;;;;;;;;
EVTDESCEspleasure114;After [From.GetFirstName]'s frequent warnings, you've decided to assume a new diet. After all your health should come before your looks...;;;;;;;;;;;;;;
EVTDESCFspleasure114;After all the times your [GetFromRelation] has yelled and warned you about how dangerous it is for you to keep such a debilitatingly frugal diet, you've started to wonder if you really might have been unknowingly depriving yourself too much...;;;;;;;;;;;;;;
EVTDESCGspleasure114;[From.GetFirstName] has called you one more time for another harsh scolding over your allegedly absolute lack of judgement, trying to scare you on what the consequences would be for your body if you keep starving yourself as [From.GetSheHe] thinks you do.;;;;;;;;;;;;;;
EVTDESCHspleasure114;How dares [From.GetFirstName] treat you like this! Summoning you, reprimanding you for unhealthy diet, as if it was any of [From.GetHerHis] business what do you eat.;;;;;;;;;;;;;;
EVTOPTZZspleasure114;More, I want more!;;;;;;;;;;;;;;
EVTOPTAspleasure114;Nothing wrong in indulging a little...;;;;;;;;;;;;;;
EVTOPTBspleasure114;This is disgusting.;;;;;;;;;;;;;;
EVTOPTCspleasure114;Enough! The mere thought is making me nauseous.;;;;;;;;;;;;;;
EVTDESCAspleasure115;[From.GetFirstName] spent quite some time explaining you how [From.GetSheHe]'ll no longer pay attention to your words and your attempts to sway [From.GetHerHim]. Seems clear [From.GetSheHe]'s will not fall for your 'concerns' about [From.GetHerHis] health.;;;;;;;;;;;;;;
EVTDESCBspleasure115;[From.GetFirstName] spent quite some time explaining you how [From.GetSheHe]'ll no longer pay attention to your words and your attempts to sway [From.GetHerHim]. Seems clear [From.GetSheHe]'s will not fall for your 'concerns' about [From.GetHerHis] health.;;;;;;;;;;;;;;
EVTOPTAspleasure115;But I *am* concerned! Nothing? Fine.;;;;;;;;;;;;;;
EVTDESCAspleasure117;[From.GetFirstName]'s concerns seemed suspicious at first, but, looking at yourself in the mirror right now you cannot deny they were founded. Your face lost that sickly pale and hollow look, you don't feel tired riding or holding a weapon, everything looks clearer.;;;;;;;;;;;;;;
EVTDESCBspleasure117;[From.GetFirstName]'s concerns seemed suspicious at first, but, looking at yourself in the mirror right now you cannot deny they were founded. You feel less tired, your face lost that sickly pale and hollow look, you overall feel like you've filled in all the right places.;;;;;;;;;;;;;;
EVTOPTAspleasure117;Feels good.;;;;;;;;;;;;;;
EVTDESCAspleasure11705;Your work has given its fruits: your [GetFromRelation] is finally looking less like a shambling corpse and more like a healthy and strong man, one not likely to be knocked over by a gust of wind.;;;;;;;;;;;;;;
EVTDESCBspleasure11705;Your work has given its fruits: your [GetFromRelation] has stopped looking like a pale corpse and more like a healthy and strong woman, one who would not faint by walking too fast.;;;;;;;;;;;;;;
EVTOPTAspleasure117005;A perfect sculpture.;;;;;;;;;;;;;;
EVTDESCAspleasure118;You fall back on your chair again, gasping heavily, looking down at the bulging belly peeking from your clothes. [From.GetFirstName]'s influence turned you into a morbid slob, with a chin too many, and soft jiggly arms you can barely raise to put more food in your mouth.;;;;;;;;;;;;;;
EVTDESCBspleasure118;After one last exhausting step, you finally reach your chair and sit down, resting your breasts over your belly. [From.GetFirstName]'s influence turned you into a fat cow, your hips have grown so large and plump you can barely move without setting your legs on fire.;;;;;;;;;;;;;;
EVTOPTAspleasure118;So tired... need a snack...;;;;;;;;;;;;;;
EVTDESCAspleasure11805;The endless indulging has greatly transformed your [GetFromRelation]: from being such a plain forgettable man, he's now become way more interesting and big. The way he slowly changed, one roll of fat after the other, the process itself is an art masterpiece that you had the luck to witness.;;;;;;;;;;;;;;
EVTDESCBspleasure11805;The endless indulging has greatly transformed your [GetFromRelation]: she started slowly, gaining inches around her chest and sides, then her face and waist, such a magnificent display of excess and decadence.;;;;;;;;;;;;;;
EVTOPTAspleasure11805;A perfect sculpture.;;;;;;;;;;;;;;
EVTDESCAspleasure119;You smile faintly, nodding to your servants, so that they can shove another batch of food down your throat. You have no longer the strength to move, nor you wish to. Breathing hurts, your body has grown so massive you can only lay half-naked on your bed. But still, you crave more.;;;;;;;;;;;;;;
EVTDESCBspleasure119;You smile faintly, nodding to your servants, so that they can shove another batch of food down your throat. You have no longer the strength to move, nor you wish to. Breathing hurts, your body has grown so massive you can only lay half-naked on your bed. But still, you crave more.;;;;;;;;;;;;;;
EVTOPTAspleasure119;Hmmpfggllrgh...;;;;;;;;;;;;;;
EVTDESCAspleasure11905;Why did you ever doubt yourself? You thought [From.GetFirstName] could never grow larger than he already was, but you underestimated your skills and his appetite. What a wondrous thing he has become, almost a different creature. A monument to glorious excess.;;;;;;;;;;;;;;
EVTDESCBspleasure11905;Why did you ever doubt yourself? You thought [From.GetFirstName] could never grow larger than she already was, but you underestimated your skills and her appetite. What a wondrous thing she has become, almost a different creature. A monument to glorious excess.;;;;;;;;;;;;;;
EVTOPTAspleasure11905;...And to me.;;;;;;;;;;;;;;
EVTDESCAspleasure120;Your [GetFromRelation]'s concerns seems to be really with your health. Somehow [From.GetSheHe] came up with the conclusion that you might be too lenient on yourself with your eating habits and that a more frugal diet could be beneficial for both your body and your mind.;;;;;;;;;;;;;;
EVTDESCBspleasure120;Your [GetFromRelation]'s concerns seems to be really with your health. Somehow [From.GetSheHe] came up with the conclusion that you might be too lenient on yourself with your eating habits and that a more frugal diet could be beneficial for both your body and your mind.;;;;;;;;;;;;;;
EVTDESCCspleasure120;Your [GetFromRelation]'s concerns seems to be really with your health. Somehow [From.GetSheHe] came up with the conclusion that you might be too lenient on yourself with your eating habits and that a more frugal diet could be beneficial for both your body and your mind.;;;;;;;;;;;;;;
EVTDESCDspleasure120;Your [GetFromRelation]'s concerns seems to be really with your health. For some strange reason [From.GetSheHe] believes you might be too lenient for what concerns eating habits with a careless diet. You cannot deny you've already had similar thoughts in the past...;;;;;;;;;;;;;;
EVTDESCEspleasure120;Your [GetFromRelation]'s concerns seems to be really with your health. For some strange reason [From.GetSheHe] believes you might be too lenient for what concerns eating habits with a supposedly careless diet.;;;;;;;;;;;;;;
EVTDESCFspleasure120;Your [GetFromRelation]'s concerns seems to be really with your health. For some strange reason [From.GetSheHe] believes you might be too lenient for what concerns eating habits with a supposedly careless diet.;;;;;;;;;;;;;;
EVTDESCGspleasure120;Your [GetFromRelation]'s concerns seems to be really with your health. For some absurd reason [From.GetSheHe] believes you might be indulging yourself too much with food and [From.GetSheHe]'s afraid for your shape being permanently ruined, were you to continue like this.;;;;;;;;;;;;;;
EVTDESCHspleasure120;Your [GetFromRelation]'s concerns seems to be really with your health. For some absurd reason [From.GetSheHe] believes you might be indulging yourself too much with food and [From.GetSheHe]'s afraid for your shape being permanently ruined, were you to continue like this.;;;;;;;;;;;;;;
EVTOPTAspleasure120;Well, I do want to look at my best...;;;;;;;;;;;;;;
EVTOPTBspleasure120;That's non of [From.GetHerHis] business.;;;;;;;;;;;;;;
EVTDESCAspleasure121;[From.GetFirstName] has become a real model, hardly eating during the whole day, often forcing [From.GetHerHim]self to throw up what little went in [From.GetHerHis] stomach. At the end of the day [From.GetSheHe] has barely the strength to drag [From.GetHerHim]self to bed.;;;;;;;;;;;;;;
EVTDESCBspleasure121;Now that [From.GetSheHe] started understanding the issue, your [GetFromRelation] is really relentlessly following [From.GetHerHis] new diet, eating as little as possible and checking [From.GetHerHis] body constantly for any ill change.;;;;;;;;;;;;;;
EVTDESCCspleasure121;[From.GetFirstName] has finally started to regulate [From.GetHerHim]self properly, with less encouraging required on your part. Keeping on like this, [From.GetSheHe] will get as thin as you wished [From.GetHerHim] to be.  At the beginning [From.GetSheHe] was a little recalcitrant, but now [From.GetSheHe]'s started to develop a healthy paranoia around [From.GetHerHis] weight.;;;;;;;;;;;;;;
EVTDESCDspleasure121;Your ceaseless work has certainly resulted in some minor improvement in your [GetFromRelation]'s looks, [From.GetSheHe] has started to skip meals and throw up entire dishes from time to time. You can see the first results of your influence in [From.GetHerHis] hollowed cheeks and shaking hands, but there's still much to go yet.;;;;;;;;;;;;;;
EVTDESCEspleasure121;Your efforts managed to get [From.GetFirstName] to assume what you would consider a healthier diet, but this will still not do, [From.GetSheHe]'s still too plump, [From.GetSheHe] needs to eat less if [From.GetSheHe] wants to look properly good.;;;;;;;;;;;;;;
EVTDESCFspleasure121;Paying some kitchen boys to hide some bile inside your [GetFromRelation]'s stew seems to have been a good idea, at the very least to start triggering some aptly timed nausea.;;;;;;;;;;;;;;
EVTDESCGspleasure121;[From.GetFirstName] still completely disregards your just concerns, [From.GetSheHe]'s so disgustingly round, eating like a disgustingly average slob. Going on like this [From.GetSheHe] might actually be getting fatter...;;;;;;;;;;;;;;
EVTDESCHspleasure121;[From.GetFirstName] still completely disregards your just concerns, [From.GetSheHe]'s so disgustingly pudgy, how does [From.GetSheHe] even carries around that bloated body? How does [From.GetSheHe] even live with the shame?;;;;;;;;;;;;;;
EVTOPTAspleasure121;*Flatter [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTBspleasure121;*Shame [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTCspleasure121;*Bash [From.GetHerHim]*;;;;;;;;;;;;;;
EVTDESCAspleasure122;You cannot remember the last time you felt real hunger, your perceptions of the world have grown soft and distant since [From.GetFirstName]'s honeyed words have helped you defeat your unhealthy eating habits. You often find yourself coming back after fainting, but it's all good to keep your terrific shape.;;;;;;;;;;;;;;
EVTDESCBspleasure122;With your [GetFromRelation]'s kind guidance, you've reached a point where you barely have any appetite. Sometimes servants remind you when it's time to eat, but more often than not you purposefully miss their call as well.;;;;;;;;;;;;;;
EVTDESCCspleasure122;[From.GetFirstName]'s insistent suggestions were all that was needed to quell your appetite. You can barely miss a week without throwing up a meal. You know every small roll of fat still plaguing your body and are evermore determined to cleanse them all.;;;;;;;;;;;;;;
EVTDESCDspleasure122;Since you've started following [From.GetFirstName]'s counsel regarding your diet, you've surely felt lighter and quicker, receiving all sorts of praise from other courtiers as well. But your [GetFromRelation] still encourages you each break to skip more and more dishes. At the end of the week you're often feeling starved and nervous.;;;;;;;;;;;;;;
EVTDESCEspleasure122;After [From.GetFirstName]'s numerous concerned talks, you've started to restrain yourself a little every once in a while. Everyone around you swears it has only done good to your health. You think you're seeing some improvements as well, ignoring the occasional growling from your stomach.;;;;;;;;;;;;;;
EVTDESCFspleasure122;With all the concerned praise you're receiving about your eating habits, you're starting to wonder if you shouldn't be a little more strict, if nothing for the sake of your health...;;;;;;;;;;;;;;
EVTDESCGspleasure122;It's the third time you see [From.GetFirstName] slipping something near your plate. At this point it would almost feel more unsettling if [From.GetSheHe] were trying to poison you. Naturally, [From.GetSheHe] kept on smiling and asking if you had enough already.;;;;;;;;;;;;;;
EVTDESCHspleasure122;Does [From.GetSheHe] makes any sense? First [From.GetSheHe] weaves all sort of praises around you, on how brave you are, not caring for gossip around you, but then suggest it might be good for you to take on a more frugal diet?;;;;;;;;;;;;;;
EVTOPTZZspleasure122;All good work has good results.;;;;;;;;;;;;;;
EVTOPTAspleasure122;I should have more care...;;;;;;;;;;;;;;
EVTOPTBspleasure122;This is terrible.;;;;;;;;;;;;;;
EVTOPTCspleasure122;Enough! I won't starve myself to death!;;;;;;;;;;;;;;
EVTDESCAspleasure123;You cannot remember the last time you felt real hunger, your perceptions of the world have grown soft and distant since [From.GetFirstName]'s poisoned words have helped you defeat your unhealthy eating habits. You often find yourself coming back after fainting, but it's all good to keep your terrific shape.;;;;;;;;;;;;;;
EVTDESCBspleasure123;Following your [GetFromRelation]'s veiled complaints,  you've reached a point where you barely have any appetite. Sometimes servants remind you when it's time to eat, but more often than not you purposefully miss their call as well.;;;;;;;;;;;;;;
EVTDESCCspleasure123; You can barely miss a week without throwing up a meal. You know every small roll of fat still plaguing your body and so does your [GetFromRelation], whose complaints make you evermore determined to cleanse them all.;;;;;;;;;;;;;;
EVTDESCDspleasure123;Every time you skip a meal or throw up one, you end up weakened and with a foggy mind, yet when you voice your concerns [From.GetFirstName] is ready to harshly rebuke them, telling you it is your deviant mindset to see sickness instead of average health.;;;;;;;;;;;;;;
EVTDESCEspleasure123;After [From.GetFirstName]'s frequent veiled insults, you've started worrying a lot about your meals. After all, if people complain there must be something wrong, you might be endangering yourself as well.;;;;;;;;;;;;;;
EVTDESCFspleasure123;With all the shameful quips you're receiving from your [GetFromRelation], you've started to wonder if you really might have been unknowingly indulging yourself too much...;;;;;;;;;;;;;;
EVTDESCGspleasure123;[From.GetFirstName] is back again with [From.GetHerHis] cheap shots against you, suggesting you might have been starved as a child to develop such a unhealthily robust appetite now.;;;;;;;;;;;;;;
EVTDESCHspleasure123;It's almost laughable how [From.GetFirstName] still is trying to make you feel some sort of shame for your looks, claiming your carelessness may very well lead you to disastrous consequences for both your health and your popularity.;;;;;;;;;;;;;;
EVTOPTZZspleasure123;All good work has good results.;;;;;;;;;;;;;;
EVTOPTAspleasure123;I should have more care...;;;;;;;;;;;;;;
EVTOPTBspleasure123;This is terrible.;;;;;;;;;;;;;;
EVTOPTCspleasure123;Enough! I won't starve myself to death!;;;;;;;;;;;;;;
EVTDESCAspleasure124;You cannot remember the last time you felt real hunger, your perceptions of the world have grown soft and distant since [From.GetFirstName]'s harsh words have helped you defeat your unhealthy eating habits. You often find yourself coming back after fainting, but it's all good to keep your terrific shape.;;;;;;;;;;;;;;
EVTDESCBspleasure124;Following your [GetFromRelation]'s harsh scolding,  you've reached a point where you barely have any appetite. Sometimes servants remind you when it's time to eat, but more often than not you purposefully miss their call as well.;;;;;;;;;;;;;;
EVTDESCCspleasure124; You can barely miss a week without throwing up a meal. You know every small roll of fat still plaguing your body and so does your [GetFromRelation], whose harsh berating make you evermore determined to cleanse them all. ;;;;;;;;;;;;;;
EVTDESCDspleasure124;With your [GetFromRelation] scolding your for eating too much every night, you've started to ask for smaller meals, when not skipping them altogether, yet this new diet often leaves you weakened and nervous.;;;;;;;;;;;;;;
EVTDESCEspleasure124;After [From.GetFirstName]'s frequent warnings, you've decided to assume a new diet. After all you should care about keeping a healthy look...;;;;;;;;;;;;;;
EVTDESCFspleasure124;After all the times your [GetFromRelation] has yelled and warned you about how dangerous and shameful it is for you to keep such a debilitatingly indulgent diet, you've started to wonder if you really might have been unknowingly eating too much...;;;;;;;;;;;;;;
EVTDESCGspleasure124;[From.GetFirstName] has called you one more time for another harsh scolding over your allegedly absolute lack of judgement, trying to scare you on what the consequences would be for your body and your reputation if you keep stuffing yourself as [From.GetSheHe] thinks you do.;;;;;;;;;;;;;;
EVTDESCHspleasure124;How dares [From.GetFirstName] treat you like this! Summoning you, reprimanding you for unhealthy diet, as if it was any of [From.GetHerHis] business what do you eat.;;;;;;;;;;;;;;
EVTOPTZZspleasure124;All good work has good results.;;;;;;;;;;;;;;
EVTOPTAspleasure124;I should have more care...;;;;;;;;;;;;;;
EVTOPTBspleasure124;This is terrible.;;;;;;;;;;;;;;
EVTOPTCspleasure124;Enough! I won't starve myself to death!;;;;;;;;;;;;;;
EVTDESCAspleasure125;[From.GetFirstName] spent quite some time explaining you how [From.GetSheHe]'ll no longer pay attention to your words and your attempts to sway [From.GetHerHim]. Seems clear [From.GetSheHe]'s will not fall for your 'concerns' about [From.GetHerHis] health.;;;;;;;;;;;;;;
EVTDESCBspleasure125;[From.GetFirstName] spent quite some time explaining you how [From.GetSheHe]'ll no longer pay attention to your words and your attempts to sway [From.GetHerHim]. Seems clear [From.GetSheHe]'s will not fall for your 'concerns' about [From.GetHerHis] health.;;;;;;;;;;;;;;
EVTOPTAspleasure125;But I *am* concerned! Nothing? Fine.;;;;;;;;;;;;;;
EVTDESCAspleasure127;[From.GetFirstName]'s concerns seemed suspicious at first, but, looking at yourself in the mirror right now you cannot deny they were founded. You feel lighter, look fit and athletic as you never thought possible and have no more trouble walking, let alone breathing.;;;;;;;;;;;;;;
EVTDESCBspleasure127;[From.GetFirstName]'s concerns seemed suspicious at first, but, looking at yourself in the mirror right now you cannot deny they were founded. You can finally wrap your hands on your waist without drowning your fingers in rolls of fat and have no real trouble walking up stairs any more.;;;;;;;;;;;;;;
EVTOPTAspleasure127;Feels good.;;;;;;;;;;;;;;
EVTDESCAspleasure12705;Your work has given its fruits: your [GetFromRelation] is finally looking less like a bloated slob and more like a healthy and strong man, one not to to crush horses under his behind.;;;;;;;;;;;;;;
EVTDESCBspleasure12705;Your work has given its fruits: your [GetFromRelation] has stopped looking like a fat cow and more like a woman someone could find desirable.;;;;;;;;;;;;;;
EVTOPTAspleasure127005;A perfect sculpture.;;;;;;;;;;;;;;
EVTDESCAspleasure128;You look at your reflection once more, searching for imperfections. There's not many of them any more. With the help of [From.GetFirstName] you've gained a body any mortal would be jealous of. Sure, some may say you look a bit pale and shaky, but it's merely the price for what you've reached.;;;;;;;;;;;;;;
EVTDESCBspleasure128;You toss away another dress, another of your favourite has become too large for you. You have not much use for so-called 'curves' any longer, thanks to [From.GetFirstName]. You're in such a shape to be the envy of all the women in the realm. It needs to be properly admired.;;;;;;;;;;;;;;
EVTOPTAspleasure128;But always be vigilant.;;;;;;;;;;;;;;
EVTDESCAspleasure12805;The endless fasting has greatly transformed your [GetFromRelation]: from being such a plain and forgettable man, he's refined his body, tossing away all the rough matter, exalting his true essence. The way he slowly changed, every ounce of flesh removed after the other, the process itself is an artistic masterpiece that you had the luck to witness.;;;;;;;;;;;;;;
EVTDESCBspleasure12805;The endless fasting has greatly transformed your [GetFromRelation]: she started slowly, losing inches around her chest and sides, then her face and waist. She's become such a delicate and beautiful flower, ready to be plucked. Her frailty makes her even more precious at your eyes.;;;;;;;;;;;;;;
EVTOPTAspleasure12805;A perfect sculpture.;;;;;;;;;;;;;;
EVTDESCAspleasure129;You look faintly at your reflection, ignoring the food laying beneath your bed. It's smell disgusts you, but you have no longer the strength to move. Yet, you look so slim and beautiful now. There's not an ounce of fat in all of your body. You could count your bones, if your mind wasn't clouded by the deprivation [From.GetFirstName] persuaded you into.;;;;;;;;;;;;;;
EVTDESCBspleasure129;You look faintly at your reflection, ignoring the food laying beneath your bed. It's smell disgusts you, but you have no longer the strength to move. Yet, you look so slim and beautiful now. There's not an ounce of fat in all of your body. You could count your bones, if your mind wasn't clouded by the deprivation [From.GetFirstName] persuaded you into.;;;;;;;;;;;;;;
EVTOPTAspleasure129;Ssshhhh...;;;;;;;;;;;;;;
EVTDESCAspleasure12905;Why did you ever doubt yourself? You thought [From.GetFirstName] could never grow smaller than he already was, but you underestimated your skills and his determination. What a delicate thing he has become, almost a different creature, an otherworldly being which walks alongside you.;;;;;;;;;;;;;;
EVTDESCBspleasure12905;Why did you ever doubt yourself? You thought [From.GetFirstName] could never grow smaller than he already was, but you underestimated your skills and his determination. What a delicate thing he has become, almost a different creature, an otherworldly being which walks alongside you.;;;;;;;;;;;;;;
EVTOPTAspleasure12905;Sublime.;;;;;;;;;;;;;;
EVTDESCAspleasure130;Your [GetFromRelation]'s concerns seems to be really with your behaviour. Apparently, [From.GetSheHe] subtly suggested you might be enjoying yourself more if you were less shy about any nocturnal activity. You couldn't find anything to disagree with [From.GetHerHis] argument at the time.;;;;;;;;;;;;;;
EVTDESCBspleasure130;Your [GetFromRelation]'s concerns seems to be really with your behaviour. Apparently, [From.GetSheHe] subtly suggested you might be enjoying yourself more if you were less shy about any nocturnal activity. You couldn't find anything to disagree with [From.GetHerHis] argument at the time.;;;;;;;;;;;;;;
EVTDESCCspleasure130;Your [GetFromRelation]'s concerns seems to be really with your behaviour. Apparently, [From.GetSheHe] subtly suggested you might be enjoying yourself more if you were less shy about any nocturnal activity. You couldn't find anything to disagree with [From.GetHerHis] argument at the time.;;;;;;;;;;;;;;
EVTDESCDspleasure130;Your [GetFromRelation]'s concerns seems to be really with your behaviour. Without any shame, [From.GetSheHe] subtly suggested you might be enjoying yourself more if you weren't so shy about any nocturnal activity. You cannot deny temptation has not crossed your mind in the past...;;;;;;;;;;;;;;
EVTDESCEspleasure130;Your [GetFromRelation]'s concerns seems to be really with your behaviour. Without any shame, [From.GetSheHe] subtly suggested you might be enjoying yourself more if you weren't so shy about any nocturnal activity. You cannot deny temptation has not crossed your mind in the past, but you could never...;;;;;;;;;;;;;;
EVTDESCFspleasure130;Your [GetFromRelation]'s concerns seems to be really with your behaviour. Without any shame, [From.GetSheHe] subtly suggested you might be enjoying yourself more if you weren't so shy about any nocturnal activity.;;;;;;;;;;;;;;
EVTDESCGspleasure130;Your [GetFromRelation]'s concerns seems to be really with your behaviour. You could barely believe your ears when [From.GetSheHe] had the gall to tell straight to your face [From.GetSheHe] believes you to be a prude who should get around more.;;;;;;;;;;;;;;
EVTDESCHspleasure130;Your [GetFromRelation]'s concerns seems to be really with your behaviour. You could barely believe your ears when [From.GetSheHe] had the gall to tell straight to your face [From.GetSheHe] believes you to be a prude who should get around more.;;;;;;;;;;;;;;
EVTOPTAspleasure130;It could actually be a nice idea...;;;;;;;;;;;;;;
EVTOPTBspleasure130;That's sick!;;;;;;;;;;;;;;
